#Field Tile Seq RA(hour) Dec(deg) Filter mean_Mag med_Mag mean_(B-R) med_(B-R)
#1 3444 614 5.02878 -69.171 B -5.912 -5.962 -0.335 -0.348
#MJD Mag Err
49417.228715 -5.997 0.032
49423.211713 -5.93 0.071
49425.357882 -5.692 0.056
49426.216516 -5.917 0.027
49428.480799 -6.066 0.071
49429.337905 -6.008 0.018
49432.217963 -5.998 0.034
49434.301875 -6.063 0.033
49435.439051 -6.105 0.096
49436.288912 -6.043 0.05
49437.456065 -5.855 0.11
49438.326725 -5.917 0.057
49441.428808 -5.98 0.129
49444.382685 -5.904 0.109
49446.339815 -6.011 0.031
49447.407581 -6.007 0.03
49448.300833 -6.058 0.068
49449.327685 -6.05 0.049
49449.344329 -5.993 0.058
49450.315822 -6.012 0.032
49451.309074 -6.059 0.047
49451.322396 -5.966 0.03
49452.353067 -5.999 0.046
49455.287894 -5.995 0.074
49456.433009 -5.767 0.054
49457.290833 -5.641 0.035
49458.253206 -5.602 0.03
49460.286088 -6.02 0.033
49461.300255 -5.991 0.024
49462.274491 -5.953 0.04
49463.273935 -5.937 0.042
49463.328565 -5.986 0.035
49464.274375 -5.984 0.081
49464.287650 -6.074 0.068
49465.284595 -5.997 0.037
49467.327743 -5.963 0.112
49469.384838 -5.914 0.133
49470.390914 -5.534 0.159
49471.288067 -5.683 0.046
49472.338299 -5.714 0.055
49473.357187 -5.923 0.031
49478.281088 -5.971 0.02
49479.214225 -5.991 0.023
49481.326343 -5.995 0.038
49483.299688 -5.981 0.035
49484.203727 -6.005 0.02
49485.270174 -5.954 0.032
49486.261991 -5.883 0.106
49487.295451 -5.672 0.047
49487.657442 -5.978 0.032
49488.281262 -5.783 0.051
49488.648333 -6.021 0.152
49489.244907 -5.856 0.051
49491.638252 -6.038 0.068
49492.288900 -6.065 0.085
49493.255729 -6.399 0.266
49493.632824 -6.236 0.146
49494.640451 -5.919 0.043
49496.246551 -6.08 0.113
49496.634977 -5.795 0.158
49498.273183 -5.947 0.2
49500.238032 -6.145 0.202
49500.662118 -6.13 0.052
49505.290949 -5.902 0.045
49509.242558 -5.823 0.062
49511.603032 -5.686 0.122
49512.237396 -5.948 0.069
49512.597743 -5.564 0.106
49513.232963 -6.046 0.05
49513.642245 -5.965 0.032
49514.224502 -5.947 0.04
49516.235116 -5.791 0.061
49517.563102 -5.936 0.085
49518.222025 -5.872 0.234
49518.574329 -6.069 0.08
49518.584155 -5.931 0.151
49519.195359 -5.921 0.078
49519.233600 -5.793 0.084
49520.580926 -6.065 0.11
49521.659954 -5.989 0.054
49522.590336 -5.993 0.04
49525.245012 -6.008 0.115
49525.618044 -5.766 0.09
49526.207558 -5.944 0.129
49527.215023 -6.254 0.182
49530.221944 -5.939 0.076
49530.650521 -5.957 0.054
49531.571065 -5.866 0.044
49532.192106 -5.76 0.07
49532.643148 -6.026 0.033
49533.197697 -5.29 0.111
49534.198495 -5.877 0.177
49534.609757 -5.947 0.072
49535.210289 -5.791 0.085
49535.666181 -5.954 0.023
49536.199201 -5.973 0.102
49537.200174 -5.998 0.061
49537.653044 -6.086 0.119
49538.208611 -6.016 0.099
49538.613183 -6.0 0.063
49539.619271 -5.91 0.056
49540.202650 -6.068 0.088
49540.600035 -5.805 0.066
49541.607407 -5.657 0.032
49542.210104 -5.947 0.027
49545.505961 -5.959 0.05
49546.504340 -6.007 0.065
49546.664780 -6.023 0.034
49547.199248 -5.689 0.071
49548.191667 -4.003 2.351
49549.181597 -5.495 0.151
49550.187488 -5.871 0.051
49550.642002 -5.99 0.048
49551.620637 -6.015 0.02
49552.179109 -6.109 0.095
49552.672813 -5.979 0.021
49553.463125 -6.034 0.104
49554.474803 -6.007 0.083
49554.670185 -5.78 0.049
49555.511400 -6.065 0.131
49555.650775 -5.735 0.114
49556.515694 -5.824 0.073
49556.652164 -5.594 0.065
49557.598368 -5.609 0.091
