#Field Tile Seq RA(hour) Dec(deg) Filter mean_Mag med_Mag mean_(B-R) med_(B-R)
#1 3444 614 5.02878 -69.171 R -5.578 -5.614 -0.335 -0.348
#MJD Mag Err
50315.522326 -5.352 0.04
50319.613287 -5.664 0.032
50320.650660 -5.62 0.084
50322.451262 -5.502 0.14
50327.576736 -5.813 0.096
50329.582963 -5.249 0.098
50333.468056 -5.498 0.074
50333.502755 -5.55 0.176
50335.508542 -5.621 0.039
50340.602083 -5.645 0.056
50341.470532 -5.635 0.058
50341.510822 -5.582 0.051
50346.553021 -5.51 0.094
50348.359016 -5.436 0.182
50349.473646 -5.535 0.04
50350.439861 -5.638 0.053
50352.399074 -5.658 0.109
50353.335069 -5.586 0.052
50359.408993 -5.599 0.028
50360.436030 -5.512 0.028
50364.327083 -5.516 0.08
50364.587326 -5.662 0.054
50366.428958 -5.628 0.031
50368.368183 -5.783 0.098
50369.388970 -5.599 0.021
50370.372407 -5.651 0.031
50371.355532 -5.603 0.026
50374.373229 -5.552 0.041
50376.353032 -5.482 0.09
50376.594803 -5.588 0.048
50377.381829 -5.223 0.033
50379.399294 -5.519 0.035
50380.354086 -5.405 0.123
50384.385729 -5.602 0.087
50385.436146 -5.634 0.061
50385.440567 -5.695 0.055
50389.284641 -5.595 0.04
50394.528287 -5.653 0.03
50395.369919 -5.586 0.03
50396.480567 -5.621 0.042
50397.426898 -5.713 0.063
50399.438160 -5.711 0.059
50401.424722 -5.622 0.054
50405.291933 -5.611 0.031
50406.291273 -5.513 0.029
50406.524664 -5.537 0.037
50407.324433 -5.338 0.061
50409.296065 -5.426 0.067
50410.372743 -5.668 0.051
50411.374387 -5.613 0.043
50416.480475 -5.649 0.064
50417.500150 -5.622 0.065
50419.286921 -5.634 0.071
50419.342755 -5.616 0.041
50420.339109 -5.573 0.031
50422.451030 -5.535 0.038
50424.297419 -5.514 0.049
50425.490440 -5.611 0.033
50426.336042 -5.611 0.025
50428.412616 -5.649 0.036
50429.480602 -5.633 0.077
50436.396134 -5.3 0.064
50437.320799 -5.278 0.066
50438.360868 -5.528 0.066
50451.391343 -5.19 0.033
50607.641435 -5.56 0.04
50614.629676 -5.612 0.088
50639.547373 -5.633 0.066
50642.505359 -5.37 0.062
50647.565370 -5.642 0.058
50650.479850 -5.556 0.362
50656.612465 -5.367 0.082
50659.485463 -5.38 0.035
50661.623356 -5.705 0.08
50669.503750 -5.62 0.035
50670.656597 -5.291 0.127
50675.471111 -5.763 0.231
50679.422627 -5.553 0.061
50680.600741 -5.591 0.036
50682.453773 -5.589 0.079
50684.616181 -5.548 0.221
50689.564086 -5.561 0.028
50701.557454 -5.361 0.029
50704.541470 -5.533 0.035
50714.465521 -5.637 0.038
50717.550937 -5.22 0.038
50719.490475 -5.384 0.054
50721.385764 -5.489 0.03
50722.513032 -5.595 0.048
50725.332940 -5.581 0.056
50730.411238 -5.63 0.021
50731.536539 -5.547 0.087
50733.405359 -5.31 0.088
50734.501377 -5.617 0.063
50736.366435 -5.516 0.199
50737.431053 -5.642 0.101
50739.340683 -5.655 0.109
50742.305613 -5.627 0.045
50744.511667 -5.66 0.042
50746.385914 -5.579 0.039
50748.359039 -5.391 0.073
50767.318912 -5.596 0.037
50769.392164 -5.666 0.04
50771.453843 -5.652 0.032
50775.478056 -5.52 0.1
50785.319896 -5.659 0.037
50796.309884 -5.382 0.057
50808.316435 -5.459 0.098
50812.365208 -5.646 0.029
50960.626308 -6.307 0.654
50973.558808 -5.741 0.229
50994.631030 -5.529 0.076
51000.587037 -5.475 0.05
51005.552847 -5.595 0.082
51017.536748 -5.674 0.053
51028.466447 -5.532 0.075
51033.648148 -5.627 0.049
51047.619815 -5.677 0.038
51051.538252 -5.652 0.046
51056.406933 -5.619 0.054
51061.467326 -5.549 0.073
51072.414873 -5.699 0.07
51073.585567 -5.162 0.071
51082.594711 -5.588 0.029
51085.362014 -5.719 0.08
51086.581412 -5.59 0.113
51089.466771 -5.338 0.11
51097.459722 -5.675 0.21
51099.576968 -5.588 0.167
51102.371123 -5.512 0.076
51106.435984 -5.416 0.095
51109.472373 -5.605 0.027
51111.437500 -6.243 0.286
51111.477662 -5.622 0.121
51113.547731 -5.659 0.08
51118.432083 -5.381 0.074
51120.481030 -5.482 0.054
51131.497870 -3.359 3.882
51136.526806 -5.572 0.049
51141.342674 -5.644 0.036
51147.454086 -5.561 0.027
51156.269641 -5.636 0.035
